ID,ENDOR||PRODUCT,ENDOR||PRODUCT,VENDOR,PRODUCT,PRONAME,ANOTHERNAME,LANGUAGE,CLUE URL,LICENSE,DOWNLOAD1,DOWNLOAD2,DOWNLOAD3,DOWNLOAD4,DOWNLOAD5,openhub,备注,,,,,,
31,  wikidforum||wikidforum,,wikidforum,wikidforum,Wikidforum,,PHP,http://sourceforge.net/projects/wikidforum/,Open Software License 3.0 (OSL3.0),git://git.code.sf.net/p/wikidforum/git,,,,,,,,,,,,
32,  revive-adserver||revive_adserver  openx||openx_source,  revive-adserver||revive_adserver  openx||openx_source,revive-adserver,revive_adserver,Revive Adserver,OpenX Source,PHP,https://github.com/revive-adserver/revive-adserver,GNU General Public License,https://github.com/revive-adserver/revive-adserver.git,http://www.revive-adserver.com/download/,,,,,,,,,,,
33,  revive-adserver||revive_adserver  openx||openx_source,  revive-adserver||revive_adserver  openx||openx_source,openx,openx_source,OpenX Source,Revive Adserver,PHP,https://github.com/revive-adserver/revive-adserver,GNU General Public License,https://github.com/revive-adserver/revive-adserver.git,http://www.revive-adserver.com/download/,,,,,,,,,,,
34,  oracle||glassfish,,oracle,glassfish,GlassFish,,Java,https://www.openhub.net/p/glassfish,"CDDL-1.0, GPL-2.0+",https://svn.java.net/svn/glassfish~svn/trunk/main/,https://java.net/projects/glassfish/sources,,,,,,,,,,,
35,  asterisk||certified_asterisk  digium||certified_asterisk,  asterisk||certified_asterisk  digium||certified_asterisk,asterisk,certified_asterisk,Certified Asterisk,,C,http://www.digium.com/en/products/asterisk/certified-asterisk,GNU General Public License version 2.0 (GPLv2),http://svn.asterisk.org/svn/asterisk/certified/,,,,,,,,,,,,
36,  asterisk||certified_asterisk  digium||certified_asterisk,  asterisk||certified_asterisk  digium||certified_asterisk,digium,certified_asterisk,Certified Asterisk,,C,http://www.digium.com/en/products/asterisk/certified-asterisk,GNU General Public License version 2.0 (GPLv2),http://svn.asterisk.org/svn/asterisk/certified/,,,,,,,,,,,,
37,  kobi_zamir||pyfribidi  fribidi||pyfribidi,  kobi_zamir||pyfribidi  fribidi||pyfribidi,kobi_zamir,pyfribidi,PyFriBidi,,C,http://sourceforge.net/projects/pyfribidi/,GNU General Public License version 2.0 (GPLv2),http://sourceforge.net/projects/pyfribidi/files/,,,,,,,,,,,,
38,,,fribidi,pyfribidi,PyFriBidi,,C,http://sourceforge.net/projects/pyfribidi/,GNU General Public License version 2.0 (GPLv2),http://sourceforge.net/projects/pyfribidi/files/,,,,,,,,,,,,
39,,,tizen,tizen,Tizen,,C++,https://www.openhub.net/p/tizen,Apache-2.0 and LGPL,https://review.tizen.org/git/,,,,,,,,,,,,
40,  sun||opensolaris  oracle||opensolaris,  sun||opensolaris  oracle||opensolaris,sun,opensolaris,OpenSolaris,,C,https://www.openhub.net/p/opensolaris,"CDDL-1.0, OSBL",http://www.oracle.com/technetwork/server-storage/solaris11/downloads/index.html,,,,,,,,,,,,
41,,,oracle,opensolaris,OpenSolaris,,C,https://www.openhub.net/p/opensolaris,"CDDL-1.0, OSBL",http://www.oracle.com/technetwork/server-storage/solaris11/downloads/index.html,,,,,,,,,,,,
42,  xvid||xvid,,xvid,xvid,Xvid,,C,https://labs.xvid.com/,GNU General Public License,https://labs.xvid.com/source/,http://svn.xvid.org/trunk,,,,,,,,,,,
43,  dell||crowbar,,dell,crowbar,Crowbar,,"Ruby,JavaScript",https://github.com/crowbar/barclamp-crowbar,,https://github.com/crowbar/barclamp-crowbar.git,,,,,,,,,,,,
44,  mozilla||thunderbird,,mozilla,thunderbird,Mozilla Thunderbird,Thunderbird,C++,https://www.mozilla.org/zh-CN/thunderbird/,MPL,http://hg.mozilla.org/comm-central,:pserver:anonymous:@cvs-mirror.mozilla.org:/cvsroot mozilla/mail,:pserver:anonymous:@cvs-mirror.mozilla.org:/cvsroot mozilla/mailnews,,,,,,,,,,
45,  treble_designs||1024_cms  1024_cms||1024_cms  1024cms||1024_cms,  treble_designs||1024_cms  1024_cms||1024_cms  1024cms||1024_cms,treble_designs,1024_cms,1024 CMS,,PHP,http://sourceforge.net/projects/cms-cvi/,GNU General Public License version 2.0 (GPLv2),http://sourceforge.net/projects/cms-cvi/files/?source=navbar,,,,,,,,,,,,
46,  treble_designs||1024_cms  1024_cms||1024_cms  1024cms||1024_cms,  treble_designs||1024_cms  1024_cms||1024_cms  1024cms||1024_cms,1024_cms,1024_cms,1024 CMS,,PHP,http://sourceforge.net/projects/cms-cvi/,GNU General Public License version 2.0 (GPLv2),http://sourceforge.net/projects/cms-cvi/files/?source=navbar,,,,,,,,,,,,
47,  treble_designs||1024_cms  1024_cms||1024_cms  1024cms||1024_cms,  treble_designs||1024_cms  1024_cms||1024_cms  1024cms||1024_cms,1024cms,1024_cms,1024 CMS,,PHP,http://sourceforge.net/projects/cms-cvi/,GNU General Public License version 2.0 (GPLv2),http://sourceforge.net/projects/cms-cvi/files/?source=navbar,,,,,,,,,,,,
48,  ppfeufer||2-click-social-media-buttons,  ppfeufer||2-click-social-media-buttons,ppfeufer,2-click-social-media-buttons,2 Click Social Media Buttons:WordPress,,"PHP,CSS",https://wordpress.org/plugins/2-click-socialmedia-buttons/,GNU General Public License version 2.0 (GPLv2),https://wordpress.org/plugins/2-click-socialmedia-buttons/developers/,,,,,,,,,,,,
49,  2z_project||2z_project,,2z_project,2z_project,2z Project,,PHP,http://sourceforge.net/projects/zz-project/,GNU General Public License version 2.0 (GPLv2),http://sourceforge.net/projects/zz-project/,,,,,,,,,,,,
50,  fedoraproject||389_directory_server,,fedoraproject,389_directory_server,389 Directory Server,,C,https://www.openhub.net/p/port389,GPL-2.0+,http://www.port389.org/docs/389ds/development/source.html,,,,,,,,,,,,
51,  3proxy||3proxy,,3proxy,3proxy,3proxy,,C,https://github.com/z3APA3A/3proxy,"Apache License Version 2.0,GNU General Public License,GNU Lesser General Public License",https://github.com/z3APA3A/3proxy.git,,,,,,,,,,,,
52,  4site||4site_cms,,4site,4site_cms,4site CMS,,"JavaScript,Perl",http://sourceforge.net/projects/cms-4site/,GNU General Public License version 2.0 (GPLv2),http://cms-4site.cvs.sourceforge.net/viewvc/cms-4site/multisite/,,,,,,,,,,,,
53,  60cycle||60cyclecms,,60cycle,60cyclecms,60cycleCMS,,PHP,http://sourceforge.net/projects/sixtycyclecms/,BSD License,http://sourceforge.net/projects/sixtycyclecms/,,,,,,,,,,,,
54,  gnu||a2ps,,gnu,a2ps,a2ps,,C,https://www.gnu.org/software/a2ps/,GNU General Public License version 2.0 (GPLv2),http://ftp.gnu.org/gnu/a2ps/,,,,,,,,,,,,
55,  avatic||aardvark_topsites_php,,avatic,aardvark_topsites_php,Aardvark Topsites PHP,AtsPHP,PHP,http://www.aardvarktopsitesphp.com/index.php?page=downloads,GNU General Public License version 2.0 (GPLv2),http://www.aardvarktopsitesphp.com/index.php?page=downloads,,,,,,,,,,,,
56,  moinejf||abcm2ps,,moinejf,abcm2ps,abcm2ps,,C,https://www.openhub.net/p/abcm2ps,GNU General Public License version 2.0 (GPLv2),git://github.com/kroger/abcm2ps.git,,,,,,,,,,,,
57,  ishmael_sanchez||aberdeen,  ishmael_sanchez||aberdeen,ishmael_sanchez,aberdeen,Aberdeen theme:Drupal,Aberdeen:Drupal,PHP,https://www.drupal.org/project/aberdeen,GNU General Public License version 2.0 (GPLv2),git://git.drupal.org/project/aberdeen.git,,,,,,,,,,,,
58,  redhat||automatic_bug_reporting_tool,,redhat,automatic_bug_reporting_tool,ABRT,Automatic Bug Reporting Tool,"C,Shell,Python",https://github.com/abrt/abrt,GNU General Public License version 2.0 (GPLv2),https://github.com/abrt/abrt.git,,,,,,,,,,,,
59,,,ashok_modi,abuse,Abuse:Drupal,,PHP,https://www.drupal.org/project/abuse,GNU General Public License version 2.0 (GPLv2),git://git.drupal.org/project/abuse.git,,,,,,,,,,,,
60,  canonical||accountsservice  ray_stode||accountsservice,  canonical||accountsservice  ray_stode||accountsservice,canonical,accountsservice,AccountsService,,C,https://www.openhub.net/p/accountsservice,GPL-3.0+,http://anongit.freedesktop.org/git/accountsservice.git,git://anongit.freedesktop.org/accountsservice,,,,,,,,,,,
61,  canonical||accountsservice  ray_stode||accountsservice,  canonical||accountsservice  ray_stode||accountsservice,ray_stode,accountsservice,AccountsService,,C,https://www.openhub.net/p/accountsservice,GPL-3.0+,http://anongit.freedesktop.org/git/accountsservice.git,git://anongit.freedesktop.org/accountsservice,,,,,,,,,,,
62,  atutor||achecker,,atutor,achecker,AChecker,,PHP,https://github.com/inclusive-design/Achecker,GNU General Public License,https://github.com/inclusive-design/AChecker.git,,,,,,,,,,,,
63,  achievo||achievo,,achievo,achievo,Achievo,,PHP,https://www.openhub.net/p/11690,GPL-2.0+,http://svn.ibuildings.nl/achievo/achievo/trunk/,,,,,,,,,,,,
64,,,drupal,acidfree,Acidfree:Drupal,Acidfree Albums:Drupal,PHP,https://www.drupal.org/project/acidfree,GNU General Public License,git://git.drupal.org/project/acidfree.git,,,,,,,,,,,,
65,  beyondgrep||ack,,beyondgrep,ack,ack,,Perl,https://github.com/petdance/ack2,Artistic License 2.0,https://github.com/petdance/ack.git,https://github.com/petdance/ack2.git,,,,,,,,,,,
66,  atutor||acollab,,atutor,acollab,Acollab,,PHP,http://sourceforge.net/projects/atutor/,GNU General Public License version 2.0 (GPLv2),http://sourceforge.net/projects/atutor/files/ACollab/,,,,,,,,,,,,
67,  atutor||acontent,,atutor,acontent,AContent,,PHP,https://github.com/atutor/Acontent,GNU General Public License,https://github.com/atutor/AContent.git,,,,,,,,,,,,
68,  acp3||acp3,,acp3,acp3,ACP3,,PHP,https://code.google.com/p/acp3/,GNU General Public License version 2.0 (GPLv2),http://acp3.googlecode.com/svn/trunk/,,,,,,,,,,,,
69,  tim_hockin||acpid  tedfelix||acpid,  tim_hockin||acpid  tedfelix||acpid,tim_hockin,acpid,acpid,ACPI Event Daemon,C,http://sourceforge.net/projects/acpid/,GNU General Public License version 2.0 (GPLv2),http://sourceforge.net/projects/acpid/files/acpid/,https://github.com/Distrotech/acpid.git,git://git.code.sf.net/p/acpid2/code,,,,,,,,,,
70,  tim_hockin||acpid  tedfelix||acpid,  tim_hockin||acpid  tedfelix||acpid,tedfelix,acpid,acpid,ACPI Event Daemon,C,http://sourceforge.net/projects/acpid/,GNU General Public License version 2.0 (GPLv2),http://sourceforge.net/projects/acpid/files/acpid/,https://github.com/Distrotech/acpid.git,git://git.code.sf.net/p/acpid2/code,,,,,,,,,,
71,,,tedfelix,acpid2,acpid2,acpid2 - The ACPI Daemon v2,C,http://sourceforge.net/projects/acpid2/,GNU General Public License version 2.0 (GPLv2),git://git.code.sf.net/p/acpid2/code,,,,,,,,,,,,
72,  canonical||acpi-support,,canonical,acpi-support,acpi-support,,shell,https://launchpad.net/acpi-support,GNU General Public License version 2.0 (GPLv2),https://code.launchpad.net/~ubuntu-core-dev/acpi-support/trunk,,,,,,,,,,,,
73,  actionpoll||actionpoll,,actionpoll,actionpoll,ActionPoll,,PHP,http://sourceforge.net/projects/actionpoll/,GNU General Public License version 2.0 (GPLv2),http://sourceforge.net/projects/actionpoll/,,,,,,,,,,,,
74,  lbstone||active_php_bookmark_notes,,lbstone,active_php_bookmark_notes,Active PHP Bookmark Notes,,PHP,http://sourceforge.net/projects/apbn/,GNU General Public License version 2.0 (GPLv2),http://sourceforge.net/projects/apbn/,,,,,,,,,,,,
75,,,activehelper,activehelper_livehelp_live_chat,ActiveHelper LiveHelp Live Chat:WordPress,,"PHP,CSS,javascript",https://wordpress.org/plugins/activehelper-livehelp/,GNU General Public License version 2.0 (GPLv2),https://wordpress.org/plugins/activehelper-livehelp/developers/,,,,,,,,,,,,
76,  morbus_iff||activism,  morbus_iff||activism,morbus_iff,activism,Activism:Drupal,,"PHP,CSS",https://www.drupal.org/project/activism,GNU General Public License version 2.0 (GPLv2),git://git.drupal.org/project/activism.git,,,,,,,,,,,,
77,  acutecp||acute_control_panel  acutecp.rediscussed||acutecp,  acutecp||acute_control_panel  acutecp.rediscussed||acutecp,acutecp,acute_control_panel,Acute Control Panel,Acutecp,SQL,http://sourceforge.net/projects/acutecp/,Creative Commons Attribution ShareAlike License V2.0,git://git.code.sf.net/p/acutecp/code,,,,,,,,,,,,
78,  acutecp||acute_control_panel  acutecp.rediscussed||acutecp,  acutecp||acute_control_panel  acutecp.rediscussed||acutecp,acutecp.rediscussed,acutecp,Acutecp,Acute Control Panel,SQL,http://sourceforge.net/projects/acutecp/,Creative Commons Attribution ShareAlike License V2.0,git://git.code.sf.net/p/acutecp/code,,,,,,,,,,,,
79,  insanevisions||adaptbb  adaptbb||adaptbb,  insanevisions||adaptbb  adaptbb||adaptbb,insanevisions,adaptbb,AdaptBB,,"JavaScript,PHP",http://sourceforge.net/projects/adaptbb/,GNU General Public License version 2.0 (GPLv2),http://sourceforge.net/projects/adaptbb/files/adaptbb/,,,,,,,,,,,,
80,  insanevisions||adaptbb  adaptbb||adaptbb,  insanevisions||adaptbb  adaptbb||adaptbb,adaptbb,adaptbb,AdaptBB,,"JavaScript,PHP",http://sourceforge.net/projects/adaptbb/,GNU General Public License version 2.0 (GPLv2),http://sourceforge.net/projects/adaptbb/files/adaptbb/,,,,,,,,,,,,
81,  adaptcms||adaptcms,,adaptcms,adaptcms,AdaptCMS,,"JavaScript,PHP",http://sourceforge.net/projects/adaptcms/,BSD License,http://www.adaptcms.com/pages/download,,,,,,,,,,,,
82,  adaptcms||adaptcms,,insanevisions,adaptcms,AdaptCMS,,"JavaScript,PHP",http://sourceforge.net/projects/adaptcms/,BSD License,http://www.adaptcms.com/pages/download,,,,,,,,,,,,
83,  adaptweb||adaptweb  isabela_gasparini||adaptweb,  adaptweb||adaptweb  isabela_gasparini||adaptweb,adaptweb,adaptweb,AdaptWeb,,PHP,http://sourceforge.net/projects/adaptweb/,GNU General Public License version 2.0 (GPLv2),http://sourceforge.net/projects/adaptweb/,,,,,,,,,,,,
84,  adaptweb||adaptweb  isabela_gasparini||adaptweb,  adaptweb||adaptweb  isabela_gasparini||adaptweb,isabela_gasparini,adaptweb,AdaptWeb,,PHP,http://sourceforge.net/projects/adaptweb/,GNU General Public License version 2.0 (GPLv2),http://sourceforge.net/projects/adaptweb/,,,,,,,,,,,,
85,  adbnewssender||adbnewssender,,adbnewssender,adbnewssender,ADbNewsSender,,"JavaScript,PHP",http://sourceforge.net/projects/adbnewssender/,GNU General Public License version 3.0 (GPLv3),svn://svn.code.sf.net/p/adbnewssender/code/trunk,,,,,,,,,,,,
86,  plaatsoft||addressbook,  plaatsoft||addressbook,plaatsoft,addressbook,Addressbook:Drupal,,"PHP,CSS,JavaScript",https://www.drupal.org/project/addressbook,GNU General Public License version 2.0 (GPLv2),git://git.drupal.org/project/addressbook.git,,,,,,,,,,,,
87,  adempiere||adempiere,,adempiere,adempiere,Adempiere,,Java,https://github.com/adempiere/adempiere,Compiere Public License,https://github.com/adempiere/adempiere.git,,,,,,,,,,,,
88,  adiscon||loganalyzer,,adiscon,loganalyzer,Adiscon LogAnalyzer,,PHP,https://github.com/rsyslog/loganalyzer,GNU General Public License version 3.0 (GPLv3),https://github.com/rsyslog/loganalyzer.git,,,,,,,,,,,,
89,  adium||adium,,adium,adium,Adium,,"Objective-C,ShellScript,XML",https://www.openhub.net/p/adium,GPL-2.0+,https://bitbucket.org/adium/adium,,,,,,,,,,,,
90,  nijskens_raf||admintools,  nijskens_raf||admintools,nijskens_raf,admintools,Admin tools:Drupal,,PHP,https://www.drupal.org/project/admin_tools,GNU General Public License version 2.0 (GPLv2),https://www.drupal.org/project/admin_tools,,,,,,,,,,,,
91,  databasepublish||admin%3ahover,  databasepublish||admin%3ahover,databasepublish,admin:hover,Admin:hover:Drupal,,PHP,https://www.drupal.org/project/admin_hover,GNU General Public License version 2.0 (GPLv2),git://git.drupal.org/project/admin_hover.git,,,,,,,,,,,,
92,,,johntp,adsense-deluxe,AdSense-Deluxe:WordPress,,"PHP,CSS,JavaScript",http://www.acmetech.com/blog/2005/07/26/adsense-deluxe-wordpress-plugin/,GNU General Public License version 2.0 (GPLv2),http://www.acmetech.com/blog/2005/07/26/adsense-deluxe-wordpress-plugin/,,,,,,,,,,,,
93,,,michelle_cox,advanced_forum,Advanced Forum:Drupal,,PHP,https://www.drupal.org/project/advanced_forum,GNU General Public License version 2.0 (GPLv2),git://git.drupal.org/project/advanced_forum.git,,,,,,,,,,,,
94,  simplerealtytheme||advanced_text_widget_plugin,  simplerealtytheme||advanced_text_widget_plugin,simplerealtytheme,advanced_text_widget_plugin,Advanced Text Widget plugin:WordPress,,PHP,https://wordpress.org/plugins/advanced-text-widget/,GNU General Public License version 2.0 (GPLv2),https://wordpress.org/plugins/advanced-text-widget/developers/,,,,,,,,,,,,
95,  john_franklin||advertisement,  john_franklin||advertisement,john_franklin,advertisement,Advertisement:Drupal,,PHP,https://www.drupal.org/project/ad,GNU General Public License version 2.0 (GPLv2),git://git.drupal.org/project/ad.git,,,,,,,,,,,,
96,  johan_lindskog||aes_encryption_module,  johan_lindskog||aes_encryption_module,johan_lindskog,aes_encryption_module,AES encryption:Drupal,,PHP,https://www.drupal.org/project/aes,GNU General Public License version 2.0 (GPLv2),git://git.drupal.org/project/aes.git,,,,,,,,,,,,
97,,,punres,affiliates_mod,Affiliation:PunBB,Affiliates:PunBB,PHP,http://www.punres.net/files.php?pid=328,GPL-2.0+,http://www.punres.net/files.php?pid=328,,,,,,,,,,,,
98,  afflib||afflib,,afflib,afflib,AFFLIB,,"C,C++",https://github.com/simsong/AFFLIBv3,four-part Berkeley copyright license,https://github.com/simsong/AFFLIBv3.git,http://digitalcorpora.org/downloads/afflib/,,,,,,,,,,,
99,  aptana||aflax,,aptana,aflax,Aflax,,JavaScript,https://github.com/aptana/aflax,MOZILLA PUBLIC LICENSE Version 1.1,https://github.com/aptana/aflax.git,,,,,,,,,,,,
100,  agavi||agavi,,agavi,agavi,Agavi,,PHP,https://www.openhub.net/p/agavi,GNU Lesser General Public License,http://svn.agavi.org/trunk,,,,,,,,,,,,
101,  ohloh||agoko_cms,,ohloh,agoko_cms,Agoko CMS,,PHP,http://sourceforge.net/projects/agoko/,Other License,http://sourceforge.net/projects/agoko/,,,,,,,,,,,,
102,,,yuriy_babenko,agreement_module,Agreement:Drupal,,PHP,https://www.drupal.org/project/agreement,GNU General Public License version 2.0 (GPLv2),git://git.drupal.org/project/agreement.git,,,,,,,,,,,,
103,  aigaion||aigaion,,aigaion,aigaion,Aigaion,,PHP,http://sourceforge.net/projects/aigaion/,GNU General Public License version 2.0 (GPLv2),https://svn.code.sf.net/p/aigaion/svn/,,,,,,,,,,,,
